ds,return_pct,IQR,STL_IQR,ModZscore,methods_count
2018-10-15,-0.5904978964482943,0,0,0,0
2018-10-16,2.149560016316343,0,0,0,0
2018-10-17,-0.025266233815879335,0,0,0,0
2018-10-18,-1.4391922356395415,0,0,0,0
2018-10-19,-0.03611698977235012,0,0,0,0
2018-10-22,-0.42995275485813167,0,0,0,0
2018-10-23,-0.5511829997012829,0,0,0,0
2018-10-24,-3.0864433977743855,0,0,1,1
2018-10-25,1.8625040052811848,0,0,0,0
2018-10-26,-1.7327264039978307,0,0,0,0
2018-10-29,-0.6559599573700448,0,0,0,0
2018-10-30,1.5666780052058682,0,0,0,0
2018-10-31,1.0851331974038647,0,0,0,0
2018-11-01,1.0557843693063784,0,0,0,0
2018-11-02,-0.6316686379398861,0,0,0,0
2018-11-05,0.5600317169601965,0,0,0,0
2018-11-06,0.6259295774170726,0,0,0,0
2018-11-07,2.1208856064105275,0,0,0,0
2018-11-08,-0.25089163835961825,0,0,0,0
2018-11-09,-0.9199013706103321,0,0,0,0
2018-11-12,-1.970148934024063,0,0,0,0
2018-11-13,-0.14819196931705747,0,0,0,0
2018-11-14,-0.7567410690302756,0,0,0,0
2018-11-15,1.0593753366266334,0,0,0,0
2018-11-16,0.22233054237545957,0,0,0,0
2018-11-19,-1.664310858849427,0,0,0,0
2018-11-20,-1.815124083246611,0,0,0,0
2018-11-21,0.3043290746176375,0,0,0,0
2018-11-23,-0.6554842390161242,0,0,0,0
2018-11-26,1.55323683669224,0,0,0,0
2018-11-27,0.3261692144003847,0,0,0,0
2018-11-28,2.2973979644221654,0,0,0,0
2018-11-29,-0.21831080910337253,0,0,0,0
2018-11-30,0.8170747552017188,0,0,0,0
2018-12-03,1.0941426132194287,0,0,0,0
2018-12-04,-3.236490314939877,0,0,1,1
2018-12-06,-0.15222281477752508,0,0,0,0
2018-12-07,-2.3320118765389863,0,0,0,0
2018-12-10,0.1762153994735005,0,0,0,0
2018-12-11,-0.035634616892232795,0,0,0,0
2018-12-12,0.5419503676349802,0,0,0,0
2018-12-13,-0.019993032368359476,0,0,0,0
2018-12-14,-1.9086709555430348,0,0,0,0
2018-12-17,-2.0773480559224233,0,0,0,0
2018-12-18,0.008640058610476231,0,0,0,0
2018-12-19,-1.539571453679811,0,0,0,0
2018-12-20,-1.5772106327423652,0,0,0,0
2018-12-21,-2.0588228309714296,0,0,0,0
2018-12-24,-2.7112254452099527,0,0,0,0
2018-12-26,4.959374278953943,1,0,1,2
2018-12-27,0.8562680784222065,0,0,0,0
2018-12-28,-0.12415825080966947,0,0,0,0
2018-12-31,0.849248413140935,0,0,0,0
2019-01-02,0.12684969251244294,0,0,0,0
2019-01-03,-2.475673039503723,0,1,0,1
2019-01-04,3.4335714642623527,0,0,1,1
2019-01-07,0.7010434848680358,0,0,0,0
2019-01-08,0.9695285023358924,0,0,0,0
2019-01-09,0.4098045450532162,0,0,0,0
2019-01-10,0.4518418782931244,0,0,0,0
2019-01-11,-0.014629784190933748,0,0,0,0
2019-01-14,-0.5257525167898014,0,0,0,0
2019-01-15,1.0721688622945758,0,0,0,0
2019-01-16,0.22219854881162515,0,0,0,0
2019-01-17,0.7591400382211066,0,0,0,0
2019-01-18,1.318305304897005,0,0,0,0
2019-01-22,-1.4157306164566674,0,0,0,0
2019-01-23,0.22029127742235755,0,0,0,0
2019-01-24,0.1375725554363605,0,0,0,0
2019-01-25,0.8488694060713842,0,0,0,0
2019-01-28,-0.7846827493937836,0,0,0,0
2019-01-29,-0.14562465775435074,0,0,0,0
2019-01-30,1.554926091974429,0,0,0,0
2019-01-31,0.8597395948725328,0,0,0,0
2019-02-01,0.08986100931438479,0,0,0,0
2019-02-04,0.6776236617404008,0,0,0,0
2019-02-05,0.470842037697472,0,0,0,0
2019-02-06,-0.22244379802809355,0,0,0,0
2019-02-07,-0.9357140143940179,0,0,0,0
2019-02-08,0.06762010869560964,0,0,0,0
2019-02-11,0.07091030986317026,0,0,0,0
